N-gram,Count
i don t,26
of the bag,12
do you mean,11
don t know,11
out of the,9
he did not,9
do you think,8
a meat cleaver,8
i wish i,7
what the hell,7
if you are,7
i m going,6
you re a,6
that s what,6
do you know,6
the middle of,6
there is nothing,6
the person who,6
is that right,6
is that what,6
there was a,6
he was a,6
the missing persons,6
dozen red roses,6
m going to,5
t have to,5
what do you,5
a long time,5
it ain t,5
said and he,5
shaking his head,5
what kind of,5
said you re,5
he didn t,5
what i mean,5
one of those,5
in the middle,5
you are a,5
are a cop,5
a cop you,5
the severed hand,5
said it s,5
how do you,5
would have been,5
i guess i,5
are you aware,5
box of candy,5
do you have,5
that what you,5
a dozen red,5
it was still,4
back to the,4
ain t got,4
day like this,4
he had to,4
i mean it,4
in the rain,4
on the sidewalk,4
the bag had,4
the bag and,4
could have been,4
i had a,4
the bottom of,4
bottom of the,4
i didn t,4
you know what,4
know what i,4
i mean i,4
he wasn t,4
get it out,4
it out of,4
of the room,4
that s pretty,4
the victim s,4
the hand was,4
and a half,4
belonged to a,4
didn t have,4
yes of course,4
kind of a,4
i would say,4
don t think,4
bag on the,4
i got a,4
you didn t,4
well that s,4
s not too,4
that it was,4
a little more,4
you got a,4
that s all,4
well you know,4
into the room,4
she said and,4
isn t it,4
he was very,4
them in a,4
yes i do,4
corner of the,4
of an inch,4
got a permit,4
lennie meyer said,4
it had been,3
he would be,3
as if he,3
we don t,3
don t have,3
think about it,3
all the time,3
every now and,3
and we ll,3
and said i,3
i ain t,3
t got no,3
i mean what,3
what s that,3
in the street,3
so so nothing,3
so nothing i,3
nothing i m,3
right to the,3
said shaking his,3
went into the,3
on the table,3
it s very,3
that s a,3
shook his head,3
the bus stop,3
it was impossible,3
was impossible to,3
the head and,3
man or woman,3
after the bus,3
walked to the,3
parker s desk,3
of the squadroom,3
you know the,3
the car and,3
got a good,3
had been a,3
at me and,3
i m in,3
going to give,3
she was a,3
it was just,3
up to the,3
just what i,3
you going to,3
for a long,3
out of here,3
of a human,3
a human being,3
you have seen,3
the sight of,3
part of a,3
no matter how,3
frightening and disgusting,3
at the wrist,3
weight of the,3
