N-gram,Count
of the,98
in the,83
on the,58
to the,57
carella said,49
that s,47
do you,42
don t,40
was a,38
the bag,38
it was,37
i m,36
he was,36
and then,34
of a,34
and he,32
in a,31
at the,31
it s,30
from the,29
didn t,26
you know,26
she said,26
i don,26
into the,25
i mean,24
and the,24
with a,23
there was,23
he had,23
out of,22
he said,22
the hand,22
a man,21
is that,21
for a,20
kling said,20
you re,19
he s,19
said you,19
had been,18
a little,18
you mean,18
she was,18
if you,18
for the,17
and a,17
with the,16
going to,16
on a,16
and i,16
the man,16
one of,16
meyer said,16
the rain,15
have to,15
ain t,15
would you,15
to be,15
got a,15
you think,14
t know,13
isn t,13
let s,13
are you,13
said and,13
you have,13
but he,13
the bus,13
did not,13
did you,13
the room,13
the other,12
to get,12
that the,12
the door,12
said i,12
i ll,12
it he,12
have been,12
and she,12
kind of,12
what i,12
just a,12
we re,12
you can,12
that it,11
and that,11
like a,11
his head,11
he d,11
about it,11
a cop,11
what you,11
i can,11
i was,11
and said,11
to do,11
all right,11
the person,11
the hell,11
you are,11
he thought,10
back to,10
all the,10
what s,10
t you,10
had to,10
can t,10
i had,10
what the,10
wasn t,10
would have,10
is it,10
to his,9
t have,9
s not,9
genero said,9
s a,9
or something,9
in his,9
through the,9
when he,9
he did,9
a big,9
i know,9
that what,9
he knew,9
there is,9
i do,9
yes i,9
person who,9
of course,9
a meat,9
meat cleaver,9
i guess,9
trying to,9
s the,9
the kitchen,9
this is,8
he would,8
that he,8
he could,8
i wish,8
said he,8
how about,8
there s,8
said it,8
is a,8
said the,8
near the,8
said what,8
was not,8
carella asked,8
no no,8
and you,8
no i,8
did he,8
know what,8
it i,8
you got,8
of his,8
or a,8
about the,8
that is,8
yes yes,8
how do,8
that right,8
wanted to,8
meyer meyer,8
the same,8
bartholdi said,8
your husband,8
she paused,8
red roses,8
a dozen,8
the boys,7
would be,7
as if,7
more than,7
the boy,7
now and,7
t it,7
to take,7
of that,7
wish i,7
not a,7
i got,7
you like,7
get it,7
when you,7
head and,7
man or,7
was the,7
could have,7
been a,7
had a,7
off the,7
i d,7
a woman,7
the middle,7
have you,7
a human,7
the victim,7
take a,7
can i,7
a very,7
so he,7
and what,7
i ve,7
i see,7
we have,7
they were,7
over the,7
the missing,7
missing persons,7
dozen red,7
it would,6
but it,6
if he,6
m going,6
thinking of,6
to make,6
the city,6
up the,6
the street,6
the way,6
s face,6
re a,6
the time,6
got to,6
to find,6
s what,6
it a,6
a long,6
